Marke;Modell;Hoehe_mm;Breite_mm;Tiefe_mm;Quelle
Apex;Apex 5-in-1-Klimagerät mobil, 12000 BTU, 3,5 kW, Energieklasse A;;;;
FM-SOLAR;FM-SOLAR YFG-12H/FC6-W mobiles Split-Klimagerät 12000 BTU, Kühlen und Heizen;;;;
Brandson;Brandson Turmventilator mit Wasserkühlung, DC-Motor 55 W, 12 Stufen;;;;
COSTWAY;COSTWAY 4-in-1-Klimagerät 14000 BTU, 4,1 kW, für Räume bis 45 m², App;;;;
Kältebringer;Kältebringer Split-Klimagerät R290, 12000 BTU, 3,7 kW, Kühlen und Heizen A++;;;;
Brandson;Brandson Turmventilator mit Wasserkühlung und Luftbefeuchter, DC-Motor;;;;
VESKA;VESKA 4-in-1-Klimagerät 12000 BTU, 3,5 kW, mobil, mit Fernbedienung;;;;
FM-SOLAR;FM-SOLAR NR-05C-W Caravan-Klimagerät, mobiles Split-Gerät, 5000 BTU;;;;
Brandson;Brandson Turmventilator mit Wasserkühlung, Eco DC-Motor, Oszillation;;;;
Midea;Midea PortaSplit Cool 3-in-1-Klimagerät für Räume bis 28 m², app-fähig;;;;
Sunicol;Sunicol mobiler Luftkühler mit Wasserkühlung, 3,2 l Tank, 70 W;;;;
Tronic;Tronic 3-in-1-Klimagerät 9000 BTU für Räume von 42 bis 60 m³;;;;
MOPUEA;MOPUEA tragbarer Luftkühler mit Sprühnebel, 700 ml Tank, 4 Windstufen;;;;
COSTWAY;COSTWAY Split-Klimagerät Inverter 9000 BTU, 3,4 kW, leiser Betrieb;;;;
VESKA;VESKA Split-Klimagerät Inverter 12000 BTU, 3,5 kW, Kühlen und Heizen, WLAN;;;;
